italiano,traduzione
l'altro ieri,giér pasàt
l'anno scorso,l'an pasàt
l'una,bòt
la,la
la provincia di brescia,la pruìnsa de Brèsa
lago,lac
lanciare,tirà
lardo,lart
largo,larc
lasciare,lasà
latta,tóla
lavandino,sicér
lavenone,lavinù
lavorare,laorà
leno,lé
lento,pégher
les fleurs du mal,I Fiùr del Mal
levare,lià
limone sul garda,limù
litigare,bigà
lo stesso,istès
lodrino,ludrì
lograto,logràt
lonato,lonàt
longhena,longhéna
losine,lósen
lozio,lós
lui,el
lumezzane,lömezane
lungo,lónc
là,là
lì,lé
ma,ma
maclodio,macló
madrina,ghidàsa
magasa,magasa
magro,magher
mai,mai
mairano,mairà
male,mal
malegno,malégn
malghese,malghés
malmesso,sacagnàt
malmostoso,malmustùs
malnata,malnada
malnato,malnàt
malonno,malòn
mandriano,malghés
manerba del garda,manèrba
manerbio,manèrbe
mangiare,mangià
maniglia,manèsa
manovale,manöal
marcheno,marché
mare,mar
marionetta,giüpì
marmentino,marmintì
marone,marù
marrone,marù
mazzano,masà
me,mé
mela,póm
melograno,pòm grà
menare,menà
mese,més
mezzo,mès
mi ha fregato,el m'a encülàt
mignolo,armilì
milione,miliù
mille,mile
milzano,milsà
moccio,moségn
molle,mòl
mollica,mòl del pa
molto,fés
monaca,mònega
mondo,mónt
monello,balòs
moniga del garda,muniga
monno,món
monte isola,muntìzola
monticelli brusati,muntizèi
montichiari,munticiàr
montirone,muntirù
morbido,tèner
morose,muruze
mura,mura
muratore,magut
muscoline,muscoline
musone,malmustùs
nascere,naser
nave,nae
nebbia,nèbia
nebbia fitta,ghèba
negare,negà
nero,négher
neve,néf
niardo,gnart
no,nò
nodo,gróp
noi,nóter
non,no
non gli piaccio proprio,el me uzmà mia
non più maturo,pasàt
notte,nòt
novanta,noanta
novantuno,novantü
nove,nöf
nuovamente,turna
nuovo,nöf
nuvola,nigol
nuvolento,nigolènt
nuvolera,nigoléra
nuvoloso,nigol
odolo,ódol
offlaga,oflaga
oggetto inutile,barbài
oggi,encö
ombelico,bigol
ome,óme
onda,ónda
ono san pietro,dó
orzinuovi,i urs nöf
orzivecchi,i urs vècc
ospitaletto,öspedalèt
ossimo,osèm
ottanta,otanta
ottantuno,otantü
otto,òt
padenghe,padènghe
paderno franciacorta,padèren
padrino,ghidàs
pagliaccio,paiàso
paisco loveno,paisc - loé
paitone,paitù
palazzolo sull'oglio,palasöl
palla,bala
pallone,balù
palmo,palmös
pancia,baga
paratico,paradec
partiamo,partöm
paspardo,paspàrt
passare,pasà
passato,pasàt
passirano,pasirà
paura,póra
pavone del mella,paù
pecora,pégora
pedata,pesada
pene,bigol
pentola,paröl
peperone,peerù
per,per
pera,pér
pero,pér
persona dal sud italia,terù
persona di scarsa personalità e serietà,bigol
persona poco seria,ciàncol
pertica alta,pèrtega alta
pertica bassa,pèrtega basa
pezzaze,pezaze
pian camuno,pià
piancogno,pià-cógn
picchiare,menà
piccolino,picinì
piccolo,pesèn
piede,pè
pieno,piè
pigro,pégher
pioggia,aqua
piovere,piöer
pipistrello,gregnapola
pisciare,pisà
pisogne,pizòogne
po',pó
poco,póc
poi,pò
poi dopo,pò dòpo
polaveno,polaen
polenta,polènta
polenta è uccelli,polènta e ozèi
pollice,dit gròs
polmone,pulmù
polpenazze del garda,polpenase
poltrona,pultruna
pomeriggio,dopomesdé
pompiano,pompià
poncarale,poncaràl
ponte di legno,pónt de lègn
pontevico,puntìc
pontoglio,pontòi
pozzolengo,posolènc
pralboino,pralbuì
prendere,ciapà
preseglie,prezèi
prestine,prèsten (prehten)
prete,prét
prevalle,guiù
provaglio d'iseo,proai (d'izé)
provaglio val sabbia,proai (val sabia)
provincia,pruìnsa
puegnago sul garda,puegnàc
pugno,pögn
quale,qual
quando,quant
quaranta,quaranta
quarantuno,quarantü
quattordici,quatórdes
quattro,quater
qui,ché
quindici,quindes
quinzano d'oglio,quinsà
raccontare,cöntà
ragnatela,talamora
recitare,di sö
refe,réf
remedello,remedèl
resistente,stagn
rezzato,rezàt
ripetere un'azione,turnà
ritornare,turnà
riuscire,rià
riva,ria
roccafranca,ròcafranca
rodengo-saiano,rodènc-saià
roncadelle,roncadèle
rosa,róza
rosso,rós
rotto,sacagnàt
rovato,roàt
rovesciare,straacà
rovinare,ruinà
roè volciano,roè volciano
rudiano,rüdià
ruggine,rözen
sabbio chiese,sabio
sacco,ròs
sale marasino,sàle
salò,salò
san felice del benaco,san filìs
san gervasio bresciano,san gervàs
san paolo,san paol
san zeno naviglio,san zé
sarezzo,sarès
saviore dell'adamello,saviùr
sberla,papina
scaldare,scaldà
scendere da,smontà
schiaffo,scciafù
scopare,ciaà
scorbutico,malmustùs
scoreggia,scorèza
scoreggiare,scorezà
scorso,pasàt
scrofa,sina
scuola,scöla
scuro,scür
secchio,sécia
sedersi,sintàs
sedia,scagna
sedici,sédes
sei,sés
sellero,sèler
seniga,seniga
sera,sera
serle,sèrle
sessanta,sesanta
sessantuno,sesantü
settanta,setanta
settantuno,setantü
sette,sèt
settimana,setemana
sirmione,sirmiù
smettere,taià
smontare,smontà
soffice,tèner
soiano del lago,soià
sole,sul
solito,sòlit
solletico,gatìgol
solo,sul
sonico,sunìc
sono arrivati tardissimo,i'è riacc tarde fés
spaghetto,bigol
sparare,trà
spingere,pucià
spritz,pirlo
sputare,cicà
sputo,cicada
stagno,stagn
stretto,strèt
su,sö
sulzano,sülsà
suola,söla
svelto,svèlto
tagliare,taià
tanto,tant
tartagliare,tartaià
tasca,scarsèla
tavernole sul mella,tavèrnole
tavola,tàola
tavolo,taol
te,té
temù,temö
tenero,tèner
terra,tèra
terrone,terù
testa,có
testicoli,coióni
testicolo,bala
the,tè
ti,te
tignale,tignàl
tipico gioco in legno,ciàncol
tirare,tirà
tonto,blu böba
torbole casaglia,tórbole casaglia
tornare,turnà
toscolano-maderno,toscolà-madèrn
tracimare,straacà
travagliato,traaiàt
tre,tré
tredici,trédes
tremosine,tremùzen
trenta,trènta
trentuno,trentü
trenzano,trensà
treviso bresciano,trevìs
trovare paicevole,uzmà
truciolo da pialla del legno,bòsgia
tu,té
tutto,töt
ubriacarsi seriamente,ciapà 'na bröta bala
ubriacatura,bala
uccelli,ozèi
uccello,ozèl
uguale,istès
un sacco di,ròs
un sacco di pecore,en ròs de pégore
una volta,'na ólta
undici,öndès
uno,giü
upupa,blu böba
urago d'oglio,ürac
urlare,uzà
uscire con qualcuno,andà
vado,'ndó
vaffanculo,encület
vai,va'
valle,val
vallio terme,vai
valvestino,valvestì
vecchia,vècc
vecchio,vècc
veloce,de ónda
venire,vègner
venti,vint
venti-due,vinti-dù
venti-tre,vint-tré
ventuno,vintü
verde,vért
verolanuova,verölanöa
verolavecchia,verölavècia
versar fuori,straacà
vestone,vestù
vezza d'oglio,èsa
villa carcina,vìla-carsina
villachiara,elaciara
villanuova sul clisi,elanöa
vione,viù
visano,vizà
vobarno,boaren
volere,völer
volta,ólta
voltare,oltà
vomitare,gometà
vuoto,vöt
zucca,söca
è molto bello,l'è bèl fés
