Italiano,Bresciano
piede,pè
peperone,peerù
lento,pégher
pigro,pégher
pecora,pégora
pero,pér
pera,pér
per,per
forchetta,perù
calcio,pesada
pedata,pesada
piccolo,pesèn
piccolo,picinì
piccolino,picinì
pieno,piè
piovere,piöer
capriola,pirlo
spritz,pirlo
pisciare,pisà
poi,pò
po',pó
poco,póc
pugno,pögn
polenta,polènta
mela,póm
paura,póra
prete,prét
provincia,pruìnsa
spingere,pucià
polmone,pulmù
poltrona,pultruna
quale,qual
quando,quant
quaranta,quaranta
quarantuno,quarantü
quattro,quater
quattordici,quatórdes
quindici,quindes
arrabbiare,rabià
arrabbiarsi,rabiàs
cancello,restèl
riva,ria
arrivare,rià
riuscire,rià
refe,réf
filo,réf
rosso,rós
un sacco di,ròs
rosa,róza
ruggine,rözen
rovinare,ruinà
rotto,sacagnàt
malmesso,sacagnàt
sera,sera
ciliegia,seréza
ciabatta,saàta
abbassare,sbasà
abbassarsi,sbasàs
bucare,sbüzà
sedia,scagna
scaldare,scaldà
calza fatta in casa,scalfarèt
tasca,scarsèla
schiaffo,scciafù
scuola,scöla
scoreggiare,scorezà
scoreggia,scorèza
scuro,scür
secchio,sécia
sedici,sédes
cento,sènt
cerchio,sércol
sei,sés
sessanta,sesanta
sessantuno,sesantü
sette,sèt
settanta,setanta
settantuno,setantü
settimana,setemana
cinque,sic
lavandino,sicér
scrofa,sina
sedersi,sintàs
catarro,smargàgn
sputo,smargàgn
smontare,smontà
scendere da,smontà
su,sö
ciabatta chiusa davanti,söbra
ceppo,sòc
zucca,söca
suola,söla
solito,sòlit
sputare,spüdà
sputo,spüt
duro,stagn
resistente,stagn
stagno,stagn
versar fuori,straacà
rovesciare,straacà
tracimare,straacà
stretto,strèt
frustino fatto con fuscelli,stròpa
sole,sul
solo,sul
ferro da stiro,suprisì
veloce,svèlto
svelto,svèlto
comiciare,tacà
attaccare,tacà
incollare,tacà
tagliare,taià
smettere,taià
tagliare,taià
ragnatela,talamora
tanto,tant
tavolo,taol
tavola,tàola
tartagliare,tartaià
balbettare,tartaià
the,tè
tu,té
te,té
tenero,tèner
morbido,tèner
soffice,tèner
terra,tèra
terrone,terù
persona dal sud Italia,terù
lanciare,tirà
tirare,tirà
cavatappi,tirabusù
prendere,tö
latta,tóla
bidone,tóla
brutta figura,tóla
tutto,töt
sparare,trà
tre,tré
tredici,trédes
trenta,trènta
trentuno,trentü
ancora,turna
nuovamente,turna
tornare,turnà
ritornare,turnà
ripetere un'azione,turnà
abituato,Üs
urlare,uzà
apprezzare,uzmà
trovare paicevole,uzmà
vai,va'
valle,val
vecchio,vècc
vecchia,vècc
venire,vègner
verde,vért
venti,vint
ventuno,vintü
venti-due,vinti-dù
venti-tre,vint-tré
volere,völer
vuoto,vöt
cianfrusaglia,zaài
giallo,zalt
giù,zó
giovane,zuen
d'aglio,d'ai
a lot,fìs
a lot,fés
coniglio,conéč
pagliaccio,giüpì
burattino,giüpì
marionetta,giüpì
brescia,brèsa
la provincia di Brescia,la pruìnsa de Brèsa
gli abitanti della provincia,i Brèsa
Les Fleurs du Mal,I Fiùr del Mal
casa,ca'
in capo al mondo,en có al mónt
che coglioni,che coióni
è molto bello,l'è bèl fés
sono arrivati tardissimo,i'è riacc tarde fés
uccelli,ozèi
sacco,ròs
acquafredda,acuafrèda
adro,ader
agnosine,agnózen
alfianello,alfianèl
anfo,anf
angolo terme,angól
artogne,artògne
azzano mella,asà
bagnolo mella,bagnól
bagolino,bagulì
barbariga,barbariga
barghe,barghe
bassano bresciano,basà
bedizzole,bedisöle
berlingo,berlenc
berzo demo,bèrs dém
berzo inferiore,bers de sóta
bienno,bièn
bione,biù
borgo san giacomo,borg san giacom
borgosatollo,borsadól
borno,buren
botticino,butizì
bovegno,böegn
bovezzo,boès
brandico,brandìc
braone,braù
breno,bré
brescia,brèsa
brione,briù
caino,caì
calcinato,calsinàt
calvagese della riviera,calvagés
calvisano,calvisà
capo di ponte,có de put (có de pónt)
capovalle,capovalle
capriano del colle,cavrià
capriolo,cavriöl
carpenedolo,carpenédol
castegnato,castegnàt
castel mella,castèl mèla
castelcovati,castelcoàt
castenedolo,castenéol
casto,cast
castrezzato,castrezàt
cazzago san martino,casàc
cedegolo,sedégol
cellatica,seladèga
cerveno,cervé
ceto,sét
chiari,ciar
cigole,sìgole
cimbergo,simbèrc
cividate camuno,siìda
coccaglio,cocài
collebeato,cobiàt
collio,còi
cologne,cològne
comezzano-cizzago,comesà-sisàc
concesio,conés
corte franca,corte franca
corteno golgi,córten
corzano,corsà
darfo boario terme,darf-boare
dello,dèl
desenzano del garda,dezensà
edolo,édol
erbusco,erbósc
esine,ézen (éden)
fiesse,fiès
flero,flér
gambara,gambara
gardone riviera,gardù söl lac
gardone val trompia,gardù val trómpia
gargnano,gargnà
gavardo,gaàrt
ghedi,ghét
gianico,gianèc
gottolengo,ótalènc
gussago,güsàc
idro,ider
incudine,incüzen
irma,irma
iseo,izé
isorella,izorèla
lavenone,lavinù
leno,lé
limone sul garda,limù
lodrino,ludrì
lograto,logràt
lonato,lonàt
longhena,longhéna
losine,lósen (luden)
lozio,lós
lumezzane,lömezane (lömedane)
maclodio,macló
magasa,magasa
mairano,mairà
malegno,malégn
malonno,malòn
manerba del garda,manèrba
manerbio,manèrbe
marcheno,marché
marmentino,marmintì
marone,marù
mazzano,masà
milzano,milsà
moniga del garda,muniga
monno,món
monte isola,muntìzola
monticelli brusati,muntizèi
montichiari,munticiàr
montirone,muntirù
mura,mura
muscoline,muscoline
nave,nae
niardo,gnart
nuvolento,nigolènt
nuvolera,nigoléra
odolo,ódol
offlaga,oflaga
ome,óme
ono san pietro,dó
orzinuovi,i urs (nöf)
orzivecchi,i urs vècc
ospitaletto,öspedalèt (spedalèt)
ossimo,osèm
padenghe,padènghe
paderno franciacorta,padèren
paisco loveno,paisc - loé
paitone,paitù
palazzolo sull'oglio,palasöl
paratico,paradec
paspardo,paspàrt
passirano,pasirà
pavone del mella,paù
pertica alta,pèrtega alta
pertica bassa,pèrtega basa
pezzaze,pezaze
pian camuno,pià
piancogno,pià-cógn
pisogne,pizòogne
polaveno,polaen
polpenazze del garda,polpenase
pompiano,pompià
poncarale,poncaràl
ponte di legno,pónt de lègn
pontevico,puntìc
pontoglio,pontòi
pozzolengo,posolènc
pralboino,pralbuì
preseglie,prezèi
prestine,prèsten (prehten)
prevalle,guiù
provaglio val sabbia,proai (val sabia)
provaglio d'iseo,proai (d'izé)
puegnago sul garda,puegnàc
quinzano d'oglio,quinsà
remedello,remedèl
rezzato,rezàt
roccafranca,ròcafranca
rodengo-saiano,rodènc-saià
roncadelle,roncadèle
rovato,roàt
roè volciano,roè volciano
rudiano,rüdià
sabbio chiese,sabio
sale marasino,sàle
salò,salò
san felice del benaco,san filìs
san gervasio bresciano,san gervàs
san paolo,san paol
san zeno naviglio,san zé
sarezzo,sarès
saviore dell'adamello,saviùr
sellero,sèler
seniga,seniga
serle,sèrle
sirmione,sirmiù
soiano del lago,soià
sonico,sunìc
sulzano,sülsà
tavernole sul mella,tavèrnole
temù,temö
tignale,tignàl
torbole casaglia,tórbole casaglia
toscolano-maderno,toscolà-madèrn
travagliato,traaiàt
tremosine,tremùzen
trenzano,trensà
treviso bresciano,trevìs
urago d'oglio,ürac
vallio terme,vai
valvestino,valvestì
verolanuova,verölanöa
verolavecchia,verölavècia
vestone,vestù
vezza d'oglio,èsa
villa carcina,vìla-carsina
villachiara,elaciara
villanuova sul clisi,elanöa
vione,viù
visano,vizà
vobarno,boaren
